error,dataset,split,task_id,result,avg_test_time,passed_tests,compiled,loc,lloc,sloc,comments,multi,blank,single_comments,CC,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,MI,model
,mbpp,test,22,passed,2.8244466665228175e-05,True,True,8.0,8.0,8.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,4.0,8.0,10.0,12.0,23.509775004326936,39.863137138648355,2.6666666666666665,106.3016990363956,5.905649946466422,0.0132877123795494,68.8237991482895,codeLLama_fewshot
,mbpp,test,23,passed,5.8089999999803395e-05,True,True,5.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,7.0,7.0,11.0,12.75488750216347,30.880904142633646,2.625,81.06237337441333,4.503465187467407,0.0102936347142112,73.91835567133589,codeLLama_fewshot
,mbpp,test,24,failed: ,,False,True,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,4.0,5.0,6.0,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.0046438561897747,81.3127850999211,codeLLama_fewshot
,mbpp,test,25,passed,3.536606666709001e-05,True,True,6.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,6.0,6.0,9.0,9.509775004326938,23.264662506490403,3.0,69.79398751947122,3.877443751081734,0.0077548875021634,73.18680209898402,codeLLama_fewshot
,mbpp,test,26,passed,0.0001055055999999,True,True,4.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,81.45282547260356,codeLLama_fewshot
,mbpp,test,27,failed: ,,False,True,6.0,6.0,6.0,0.0,0.0,0.0,0.0,7.0,4.0,6.0,6.0,10.0,10.0,16.0,23.509775004326936,53.1508495181978,3.3333333333333335,177.16949839399268,9.842749910777371,0.0177169498393992,70.00187095938281,codeLLama_fewshot
,mbpp,test,28,passed,4.1226366666665314e-05,True,True,17.0,18.0,16.0,0.0,0.0,1.0,0.0,7.0,5.0,13.0,11.0,20.0,18.0,31.0,59.71535681027101,129.26767504471167,3.8461538461538463,497.18336555658334,27.621298086476852,0.0430892250149038,56.89132993962923,codeLLama_fewshot
,mbpp,test,29,failed: ,,False,True,6.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,30,passed,7.478083333332849e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,84.69319837885878,codeLLama_fewshot
,mbpp,test,31,passed,7.55622333331966e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.28848882059837,codeLLama_fewshot
,mbpp,test,32,passed,3.789403333342989e-05,True,True,7.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,33,passed,4.575516665378624e-05,True,True,8.0,7.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,34,passed,4.562033333286308e-05,True,True,11.0,10.0,10.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,4.0,5.0,6.0,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.0046438561897747,69.77222402969879,codeLLama_fewshot
,mbpp,test,35,passed,4.309040000028593e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.5574946685516,codeLLama_fewshot
,mbpp,test,36,passed,5.534629999980704e-05,True,True,10.0,10.0,10.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,9.0,18.0,16.0,27.0,48.72905595320056,108.0,5.4,583.2,32.400000000000006,0.036,63.40996439324592,codeLLama_fewshot
,mbpp,test,37,failed: ,,False,True,10.0,10.0,10.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,7.0,14.0,15.0,21.0,44.039100017307746,82.0447025077789,4.666666666666667,382.8752783696349,21.27084879831305,0.0273482341692596,64.38032010933495,codeLLama_fewshot
,mbpp,test,38,passed,0.0001036494666664,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,39,failed: ,,False,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,40,passed,3.916993332495622e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,4.0,5.0,4.754887502163469,10.0,0.5,5.0,0.2777777777777778,0.0033333333333333,86.29682642769582,codeLLama_fewshot
,mbpp,test,41,passed,2.989713333316028e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.5574946685516,codeLLama_fewshot
,mbpp,test,42,passed,2.8251699999752113e-05,True,True,5.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,5.0,5.0,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456,77.02781257964013,codeLLama_fewshot
,mbpp,test,43,passed,0.0001147161,True,True,11.0,11.0,11.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,5.0,10.0,8.0,15.0,17.509775004326936,45.0,1.6666666666666667,75.0,4.166666666666667,0.015,65.16926996132207,codeLLama_fewshot
,mbpp,test,44,passed,3.675083333405382e-05,True,True,7.0,6.0,6.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,74.41979541019013,codeLLama_fewshot
,mbpp,test,45,failed: ,,False,True,8.0,7.0,7.0,0.0,0.0,1.0,0.0,2.0,3.0,10.0,5.0,10.0,13.0,15.0,37.974168451037094,55.506595772116384,1.5,83.25989365817458,4.625549647676365,0.0185021985907054,69.08213212389333,codeLLama_fewshot
,mbpp,test,46,passed,4.668003333184363e-05,True,True,6.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,74.41979541019013,codeLLama_fewshot
,mbpp,test,47,passed,3.0002566666098575e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,84.96220422681199,codeLLama_fewshot
,mbpp,test,48,failed: ,,False,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,5.0,10.0,11.0,15.0,28.75488750216347,51.89147427955947,1.875,97.296514274174,5.405361904120777,0.0172971580931864,81.28971476664886,codeLLama_fewshot
,mbpp,test,49,passed,7.059329999999549e-05,True,True,11.0,11.0,11.0,0.0,0.0,0.0,0.0,7.0,6.0,14.0,8.0,16.0,20.0,24.0,68.81274391313339,103.72627427729672,3.4285714285714284,355.63294037930297,19.757385576627943,0.0345754247590989,62.22629721282728,codeLLama_fewshot
,mbpp,test,50,passed,3.7360633333335023e-05,True,True,12.0,12.0,11.0,0.0,0.0,1.0,0.0,2.0,2.0,12.0,9.0,18.0,14.0,27.0,45.01955000865388,102.7985828955553,1.5,154.19787434333296,8.566548574629609,0.0342661942985184,62.10181293599119,codeLLama_fewshot
,mbpp,test,51,failed: 'int' object is not subscriptable,,False,True,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,52,passed,8.350180000131029e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.42299174457497,codeLLama_fewshot
,mbpp,test,53,passed,0.0001194298999962,True,True,3.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,54,"failed: expected an indented block after function definition on line 1 (<string>, line 1)",,False,False,,,,,,,,,,,,,,,,,,,,,,codeLLama_fewshot
,mbpp,test,55,passed,4.393206666766976e-05,True,True,6.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,74.28529248621352,codeLLama_fewshot
,mbpp,test,56,passed,0.0003591576,True,True,8.0,8.0,8.0,0.0,0.0,0.0,0.0,5.0,2.0,6.0,10.0,20.0,8.0,30.0,17.509775004326936,90.0,3.3333333333333335,300.0,16.666666666666668,0.03,65.94388113395866,codeLLama_fewshot
,mbpp,test,57,failed: ,,False,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,9.0,6.0,12.0,14.0,18.0,40.13896548741762,68.53238859703687,3.3333333333333335,228.44129532345625,12.691183073525346,0.0228441295323456,80.17486671590754,codeLLama_fewshot
,mbpp,test,58,passed,6.20890333333346e-05,True,True,17.0,17.0,17.0,0.0,0.0,0.0,0.0,9.0,5.0,16.0,10.0,20.0,21.0,30.0,75.60964047443682,131.76952268336282,3.125,411.7797583855088,22.87665324363938,0.0439231742277876,57.10553285030966,codeLLama_fewshot
,mbpp,test,59,passed,6.454749999988963e-05,True,True,11.0,10.0,10.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,72.9066793577724,codeLLama_fewshot
,mbpp,test,60,passed,7.433010000189219e-05,True,True,15.0,15.0,15.0,0.0,0.0,0.0,0.0,5.0,6.0,11.0,10.0,20.0,17.0,30.0,53.563522809337215,122.6238852375102,5.454545454545454,668.8575558409647,37.15875310227582,0.0408746284125033,59.0480428313728,codeLLama_fewshot
,mbpp,test,61,passed,2.6121366666664868e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,84.96220422681199,codeLLama_fewshot
,mbpp,test,62,passed,5.1126566666444737e-05,True,True,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,63,passed,6.028113333134873e-05,True,True,19.0,19.0,19.0,0.0,0.0,0.0,0.0,8.0,4.0,11.0,6.0,12.0,15.0,18.0,46.053747805010275,70.32403072095333,2.1818181818181817,153.43424884571635,8.52412493587313,0.0234413435736511,58.09584676378463,codeLLama_fewshot
,mbpp,test,64,failed: ,,False,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,84.55869545488217,codeLLama_fewshot
,mbpp,test,65,passed,2.9957000000043383e-05,True,True,4.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,16.0,13.0,26.0,21.0,39.0,75.60964047443682,171.30037948837168,4.0625,695.9077916715099,38.661543981750555,0.0571001264961238,70.95687398968832,codeLLama_fewshot
,mbpp,test,66,passed,2.576716666832605e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,84.96220422681199,codeLLama_fewshot
,mbpp,test,67,passed,2.7266266666477653e-05,True,True,8.0,8.0,8.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,8.0,16.0,13.0,24.0,36.52932501298081,88.81055323538621,3.5555555555555554,315.7708559480398,17.542825330446657,0.0296035177451287,66.25334415161551,codeLLama_fewshot
,mbpp,test,68,passed,2.6615533352014607e-05,True,True,6.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,74.28529248621352,codeLLama_fewshot
,mbpp,test,69,failed: ,,False,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,6.0,6.0,9.0,10.0,23.264662506490403,1.5,34.89699375973561,1.938721875540867,0.0077548875021634,83.46020506765267,codeLLama_fewshot
,mbpp,test,70,failed: ,,False,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,71,passed,3.082880000420119e-05,True,True,4.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,7.0,4.0,8.0,10.0,12.0,24.406371956566694,39.863137138648355,1.7142857142857142,68.33680652339717,3.796489251299843,0.0132877123795494,78.25036867974562,codeLLama_fewshot
,mbpp,test,72,passed,2.8663933333331983e-05,True,True,9.0,9.0,9.0,0.0,0.0,0.0,0.0,3.0,4.0,11.0,8.0,16.0,15.0,24.0,46.053747805010275,93.76537429460444,2.909090909090909,272.7719979479402,15.153999885996676,0.0312551247648681,64.97241198770294,codeLLama_fewshot
,mbpp,test,73,failed: ,,False,True,5.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,5.0,10.0,9.0,15.0,20.264662506490406,47.548875021634686,2.5,118.87218755408672,6.604010419671484,0.0158496250072115,72.74032955748122,codeLLama_fewshot
,mbpp,test,74,passed,3.059256666801957e-05,True,True,5.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,6.0,6.0,9.0,11.60964047443681,23.264662506490403,0.6,13.95879750389424,0.7754887502163467,0.0077548875021634,77.1625534155643,codeLLama_fewshot
,mbpp,test,75,passed,2.626333333353159e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,4.0,8.0,9.0,12.0,20.264662506490406,38.03910001730775,2.0,76.0782000346155,4.226566668589751,0.0126797000057692,82.2340467055486,codeLLama_fewshot
,mbpp,test,76,passed,0.0001835309333333,True,True,5.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,77,passed,0.0001776596666672,True,True,5.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,78,failed: ,,False,True,5.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,76.012549340051,codeLLama_fewshot
,mbpp,test,79,failed: ,,False,True,5.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,79.60783978179059,codeLLama_fewshot
,mbpp,test,80,passed,5.543046666692438e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.42299174457497,codeLLama_fewshot
,mbpp,test,81,passed,2.7562966666513e-05,True,True,5.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,76.012549340051,codeLLama_fewshot
,mbpp,test,82,passed,3.1293933231305954e-05,True,True,9.0,9.0,9.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,5.0,10.0,8.0,15.0,16.36452797660028,45.0,3.0,135.0,7.5,0.015,67.0703607604372,codeLLama_fewshot
,mbpp,test,83,failed: ,,False,True,4.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,84,passed,6.330263334651439e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,85,passed,2.950989999987996e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,5.0,7.0,8.0,12.75488750216347,22.458839376460833,1.875,42.11032383086406,2.3394624350480036,0.0074862797921536,83.5674020211474,codeLLama_fewshot
,mbpp,test,86,passed,0.0001810776333286,True,True,11.0,11.0,11.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,68.27394744654153,codeLLama_fewshot
,mbpp,test,87,passed,4.380733333467409e-05,True,True,5.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,4.0,5.0,6.0,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.0046438561897747,76.47338445371699,codeLLama_fewshot
,mbpp,test,88,failed: ,,False,True,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,89,passed,6.70729666732465e-05,True,True,7.0,6.0,6.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,3.0,5.0,7.0,8.0,12.75488750216347,22.458839376460833,1.875,42.11032383086406,2.3394624350480036,0.0074862797921536,73.15949612850216,codeLLama_fewshot
,mbpp,test,90,failed: ,,False,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.5574946685516,codeLLama_fewshot
,mbpp,test,91,passed,5.329246666666935e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.28848882059837,codeLLama_fewshot
,mbpp,test,92,passed,3.197080000063579e-05,True,True,6.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0,12.0,12.0,24.0,18.0,36.0,58.52932501298082,150.11730005192322,6.0,900.7038003115393,50.03910001730774,0.0500391000173077,67.24802822019905,codeLLama_fewshot
,mbpp,test,93,passed,0.0001138859666666,True,True,3.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,94,passed,3.810956666635927e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,95,passed,6.873433333333493e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.5574946685516,codeLLama_fewshot
,mbpp,test,96,passed,3.125199999998903e-05,True,True,12.0,12.0,12.0,0.0,0.0,0.0,0.0,7.0,8.0,12.0,11.0,22.0,20.0,33.0,67.01955000865388,142.62362713128297,7.333333333333333,1045.9065989627418,58.10592216459676,0.0475412090437609,60.43358159350076,codeLLama_fewshot
,mbpp,test,97,passed,0.0002351449000002,True,True,8.0,7.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,98,failed: ,,False,True,5.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,76.012549340051,codeLLama_fewshot
